CLUSTER,RA,DEC,REDSHIFT,0.1-2.4 keV X-ray Luminosity (x 1E+44 erg/s),LX_err,1.4 GHz Radio Power (x 1E+24 W/Hz),P14_err,LOG(SZ),LOG(SZ_err),SZ,SZ_err,RadioLimit?,WithSZ?
Abell 2697,00:03:11.8,-06:05:10,0.232,7.29,0.41,0.41,0,-4.15,0.077,0.708,0.126,TRUE,TRUE
Abell 141,01:05:34.8,-24:39:17,0.23,6.82,0.27,0.43,0,-4.379,0.12,0.418,0.115,TRUE,TRUE
Abell 3088,03:07:04.1,-28:40:14,0.254,5.63,0.08,0.43,0,-4.062,0.065,0.867,0.13,TRUE,TRUE
RXC J0437.1+0043,04:37:10.1,+00 43 38,0.284,6.15,0.08,0.65,0,0,0,0,0,TRUE,FALSE
RXC J1115.8+0129,11:15:54.0,+01:29:44,0.35,8.21,0.1,0.47,0,-4.087,0.087,0.818,0.164,TRUE,TRUE
Abell 2485,22:48:32.9,-16:06:23,0.247,3.07,0.07,0.47,0,0,0,0,0,TRUE,FALSE
Abell 2631,23:37:40.6,+00:16:36,0.278,8.62,0.7,0.41,0,-4.029,0.067,0.935,0.144,TRUE,TRUE
Abell 2645,23:41:16.8,-09:01:39,0.251,4.13,0.4,0.59,0,-4.288,0.099,0.515,0.117,TRUE,TRUE
Abell 2667,23:51:40.7,-26:05:01,0.226,10.94,0.4,0.45,0,-4.054,0.055,0.883,0.112,TRUE,TRUE
NSCS J010649+010344,01:06:50.3,+01:03:17,0.255,4.26,0.6,0.65,0,0,0,0,0,TRUE,FALSE
RXJ 0142.0+2131,01:42:03.1,+21:30:39,0.28,6,0.1,0.45,0,-4.134,0.102,0.735,0.173,TRUE,TRUE
Abell 267,01:52:52.2,+01:02:46,0.23,5.94,0.44,0.34,0,-4.301,0.108,0.5,0.124,TRUE,TRUE
RXJ 0439.0+0715,04:39:01.2,+07:15:36,0.244,7.69,0.58,0.46,0,-4.181,0.096,0.659,0.146,TRUE,TRUE
RXJ 0439.0+0520,04:39:02.2,+05:20:43,0.208,4.05,0.46,0.32,0,0,0,0,0,TRUE,FALSE
Abell 611,08:00:58.1,+36:04:41,0.288,4.96,0.64,0.43,0,-4.162,0.081,0.689,0.128,TRUE,TRUE
ZwCl 0857.9+2107,09:00:45.9,+20:55:13,0.235,3.98,0.41,0.26,0,0,0,0,0,TRUE,FALSE
Abell 781,09:20:23.2,+30:26:15,0.298,5.44,0.14,0.36,0,-4.097,0.072,0.8,0.133,TRUE,TRUE
ZwCl 0949.6+5207,09:52:55.3,+51:52:52,0.214,3.38,0.42,0.35,0,0,0,0,0,TRUE,FALSE
Abell 1423,11:57:22.5,+33:39:18,0.213,4.76,0.38,0.38,0,-4.143,0.064,0.719,0.106,TRUE,TRUE
Abell 1576,12:36:49.1,+63:11:30,0.3,6.68,0.14,0.64,0,-4.143,0.063,0.719,0.104,TRUE,TRUE
RXJ 1532.9+3021,15:32:54.2,+30:21:11,0.345,12.28,0.22,0.66,0,0,0,0,0,TRUE,FALSE
Abell 2146,15:56:04.7,+66:20:24,0.234,5.69,0.04,0.39,0,-4.495,0.08,0.32,0.059,TRUE,TRUE
Abell 2261,17:22:28.3,+32:09:13,0.224,7.79,0.37,0.32,0,-3.991,0.048,1.021,0.113,TRUE,TRUE
RXJ 2228.6+2037,22:28:34.4,+20:36:47,0.418,11.71,0.2,0.95,0,-3.917,0.072,1.211,0.201,TRUE,TRUE
Abell 2537,23:08:23.3,-02:11:31,0.297,4.54,0.07,0.51,0,-4.12,0.08,0.759,0.14,TRUE,TRUE
RXJ 0027.6+2616,00:27:49.8,+26:16:26,0.365,3.52,0.11,0.74,0,0,0,0,0,TRUE,FALSE
ZwCl 1303.6+2647,13:06:00.0,+26:30:58,0.306,4.74,0.08,0.59,0,0,0,0,0,TRUE,FALSE
ZwCl 1309.1+2216,13:11:31.5,+22:00:05,0.266,1.66,0.06,0.36,0,0,0,0,0,TRUE,FALSE
